Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_To_leaveListcalToDate""), Keys.chord(ENTER))",Chrome 92.0.4515.159,,,2021-08-19 21:33:19,2021-08-19 21:33:19,0.436s,PASSED
"uncheck(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_All_leaveList_chkSearchFilter_checkbo_a698f3""))",Chrome 92.0.4515.159,,,2021-08-19 21:33:19,2021-08-19 21:33:19,0.385s,PASSED
"check(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_Pending Approval_leaveListchkSearchFilter""))",Chrome 92.0.4515.159,,,2021-08-19 21:33:19,2021-08-19 21:33:20,0.381s,PASSED
"click(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_Taken_btnSearch""))",Chrome 92.0.4515.159,,,2021-08-19 21:33:20,2021-08-19 21:33:21,0.819s,PASSED
"scrollToElement(findTestObject(""Apply Leave/Page_OrangeHRM/th_Date""), 0)",Chrome 92.0.4515.159,,,2021-08-19 21:33:21,2021-08-19 21:33:21,0.797s,PASSED
takeScreenshot(),Chrome 92.0.4515.159,,,2021-08-19 21:33:21,2021-08-19 21:33:22,0.418s,PASSED
"if (days.equals(""""))",Chrome 92.0.4515.159,,,2021-08-19 21:33:22,2021-08-19 21:33:22,0.000s,PASSED
else,Chrome 92.0.4515.159,,,2021-08-19 21:33:22,2021-08-19 21:33:24,2.069s,PASSED
,,,,,,,
Test Cases/Apply Leave,Chrome 92.0.4515.159,,,2021-08-19 21:33:26,2021-08-19 21:33:50,23.966s,PASSED
"com.database.mysql.connectDB(""localhost"", ""orangehrm_mysql"", ""3306"", ""root"", null)",Chrome 92.0.4515.159,,,2021-08-19 21:33:26,2021-08-19 21:33:26,0.000s,PASSED
"com.database.mysql.execute(""DELETE FROM `ohrm_leave_request` WHERE `emp_number`=3 AND `date_applied`='2021-09-02' AND `leave_type_id` = 3"")",Chrome 92.0.4515.159,,,2021-08-19 21:33:26,2021-08-19 21:33:26,0.000s,PASSED
